latitude,longitude,altitude,geometry,name
37.44933332,127.127831,,117,비전타워 구름다리 입구
37.44932636,127.1281396,,118,공과대학-구름다리
37.44910017,127.1281323,,119,공과대학쪽문
37.44914266,127.129115,,120,공과대학 뒷 코너
37.4492649,127.1291364,,121,공과대학-산학협력관 통문
37.44924347,127.1293039,,122,산학협력관 코너
37.44991308,127.1295926,,123,산학협력관-가천관 통문
37.45271601,127.1335557,,124,중앙도서관 주차장
37.45294285,127.1334197,,125,중앙도서관 횡단보도
37.45091181,127.1299517,,126,가천관 더 내려가는 길
37.45091032,127.1287173,,127,반도체대학 앞 동산 끝
37.4496785,127.1279969,,128,바이오나노연구원
37.44988457,127.1280008,,129,바이오나노연구원 정문
37.45215657,127.1313055,,130,바람개비동산 앞 횡단보도
37.45204734,127.1312444,,131,바람개비동산 코너
37.45195884,127.1313317,,132,교육대학원 쪽문
37.45177445,127.1312237,,133,교육대학원 옆 횡단보도
37.45242127,127.1307449,,134,바람개비동산쪽 과속방지턱
37.45246092,127.1301987,,135,대학원 앞 길목
37.45256046,127.1301535,,136,대학원 정문
37.45192555,127.129735,,137,예음홀-예술대학2 입구
37.45214356,127.1287202,,138,예술대학 정문
37.45202286,127.1287538,,139,예술대학 코너
37.4495156,127.1294064,,140,산학협력관 정문
37.4494384,127.1285501,,141,공과대학 정문
37.45063757,127.1274527,,142,반도체대학 코너
37.4501839,127.1272884,,143,비전타워 쪽문
37.44965575,127.1269088,,144,비전타워 정문 앞 횡단보도
37.45075124,127.1274545,,145,반도체대학 무당이정류장
37.45132743,127.1286043,,146,공대쪽문
